id,day,month,year,eventDate,x,y,kingdom,vernacularName,kind_nl,action_en,action_amount,materials_en,municipality
3944,20,2,2018,2018-2-20,82434.6509346297,217328.73298767302,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=13, Fish traps=4",MALDEGEM (BE)
4602,16,3,2018,2018-3-16,81832.13245058074,217880.19724832196,Animal,Muskrat,Muskusrat,Identified,0,"Fish traps=2, Follow-up=13",MALDEGEM (BE)
6310,7,5,2018,2018-5-7,93526.42864316629,168401.15400008578,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=3, Bait trap=4",WORTEGEM-PETEGEM (BE)
6461,14,5,2018,2018-5-14,90890.71154125604,167784.81279626023,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=3, Fish traps=1",WORTEGEM-PETEGEM (BE)
6462,14,5,2018,2018-5-14,90232.05724078555,167176.93748262618,Animal,Muskrat,Muskusrat,No catch,0,"Follow-up=3, Fish traps=1",WORTEGEM-PETEGEM (BE)
6620,17,5,2018,2018-5-17,93874.88582636105,168829.8334507635,Animal,Muskrat,Muskusrat,Catch,2,"Fish traps=6, Follow-up=5",WORTEGEM-PETEGEM (BE)
10499,10,10,2018,2018-10-10,128436.48819361096,177358.82414349914,Animal,Muskrat,Muskusrat,Traces,1,Follow-up=2,DENDERLEEUW (BE)
10501,10,10,2018,2018-10-10,128427.37877036988,177307.44489938207,Animal,Muskrat,Muskusrat,Traces,1,Follow-up=2,DENDERLEEUW (BE)
10755,17,10,2018,2018-10-17,122569.35458686121,167023.35609259084,Animal,Muskrat,Muskusrat,,,"Follow-up=6, Bait trap=2",NINOVE (BE)
12271,21,1,2019,2019-1-21,94050.36977916547,169020.9011913091,Animal,Muskrat,Muskusrat,Catch,3,"Fish traps=1, Follow-up=5",WORTEGEM-PETEGEM (BE)
13254,11,3,2019,2019-3-11,93580.53458022916,161465.5784581881,Animal,Muskrat,Muskusrat,Catch,64,Other=1,RONSE (BE)
14804,15,5,2019,2019-5-15,109513.4093520442,174569.3233834589,Animal,Muskrat,Muskusrat,No catch,0,Fish traps=2,ZOTTEGEM (BE)
17379,24,9,2019,2019-9-24,92796.96780407001,167646.47737903707,Animal,Muskrat,Muskusrat,,,"Fish traps=2, Follow-up=1",OUDENAARDE (BE)
17382,30,9,2019,2019-9-30,127066.044993665,169659.7876207931,Animal,Muskrat,Muskusrat,,,"Follow-up=10, Bait trap=2",ROOSDAAL (BE)
17381,30,9,2019,2019-9-30,126991.70533364806,169667.11051875073,Animal,Muskrat,Muskusrat,,,"Follow-up=10, Bait trap=4",ROOSDAAL (BE)
17360,7,10,2019,2019-10-7,92002.64555682467,168087.39670045208,Animal,Muskrat,Muskusrat,Identified,0,"Fish traps=4, Follow-up=3",WORTEGEM-PETEGEM (BE)
17856,4,11,2019,2019-11-4,93875.2645032224,168819.80607921444,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=1, Bait trap=2",WORTEGEM-PETEGEM (BE)
18118,26,11,2019,2019-11-26,123590.7295501576,167853.91118932143,Animal,Muskrat,Muskusrat,Identified,1,"Bait trap=1, Follow-up=2",NINOVE (BE)
18755,9,1,2020,2020-1-9,82239.99361598297,216456.57872402668,Animal,Muskrat,Muskusrat,Catch,1,Follow-up=4,MALDEGEM (BE)
18752,9,1,2020,2020-1-9,81723.78570241331,217825.11044824496,Animal,Muskrat,Muskusrat,Catch,1,Follow-up=4,MALDEGEM (BE)
18775,13,1,2020,2020-1-13,84164.394239398,215558.90228707623,Animal,Muskrat,Muskusrat,Catch,2,Follow-up=2,MALDEGEM (BE)
18916,21,1,2020,2020-1-21,102913.21844391804,217633.1950374609,Animal,Muskrat,Muskusrat,,,"Fish traps=1, Follow-up=6",ASSENEDE (BE)
19291,23,1,2020,2020-1-23,86269.91304353181,162364.1082883291,Animal,Muskrat,Muskusrat,Catch,15,"Conibear trap=4, Fish traps=2, Follow-up=9",KLUISBERGEN (BE)
18944,23,1,2020,2020-1-23,84117.29436298605,216362.96634886786,Animal,Muskrat,Muskusrat,Catch,2,Follow-up=4,
19015,27,1,2020,2020-1-27,83988.40537595109,215540.56561588217,Animal,Muskrat,Muskusrat,Catch,1,"Fish traps=5, Follow-up=14",MALDEGEM (BE)
19105,29,1,2020,2020-1-29,112373.93739392259,165234.23045294173,Animal,Muskrat,Muskusrat,Traces,1,Follow-up=2,LIERDE (BE)
19207,3,2,2020,2020-2-3,82539.79754155676,216606.7182698939,Animal,Muskrat,Muskusrat,Catch,1,Follow-up=7,MALDEGEM (BE)
19174,3,2,2020,2020-2-3,84127.32863791357,216108.44257768337,Animal,Muskrat,Muskusrat,Catch,1,Follow-up=5,MALDEGEM (BE)
19208,4,2,2020,2020-2-4,84106.92150255128,216395.60975696146,Animal,Muskrat,Muskusrat,Catch,5,Follow-up=5,
19268,6,2,2020,2020-2-6,82171.74582269185,217574.13492900133,Animal,Muskrat,Muskusrat,Catch,6,Follow-up=12,
19249,7,2,2020,2020-2-7,92794.02676113744,167632.72607088648,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=1, Fish traps=3",OUDENAARDE (BE)
19313,10,2,2020,2020-2-10,81697.99577604106,217553.92697515618,Animal,Muskrat,Muskusrat,,,Follow-up=11,MALDEGEM (BE)
19690,9,3,2020,2020-3-9,94458.6383058977,169839.8231562795,Animal,Muskrat,Muskusrat,,,"Fish traps=2, Follow-up=2",OUDENAARDE (BE)
19689,9,3,2020,2020-3-9,94440.89855549976,169850.29060395993,Animal,Muskrat,Muskusrat,Catch,2,Follow-up=1,OUDENAARDE (BE)
19715,10,3,2020,2020-3-10,81911.7358909162,216348.1649693083,Animal,Muskrat,Muskusrat,Identified,0,Follow-up=4,DAMME (BE)
19950,2,4,2020,2020-4-2,83013.58020101774,216554.50315526873,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=2, Fish traps=1",MALDEGEM (BE)
19951,2,4,2020,2020-4-2,83037.15759924662,216448.97502416186,Animal,Muskrat,Muskusrat,Identified,0,"Fish traps=3, Follow-up=2",MALDEGEM (BE)
19988,7,4,2020,2020-4-7,100231.72853591375,213618.77466915734,Animal,Muskrat,Muskusrat,Catch,1,"Follow-up=5, Conibear trap=3",KAPRIJKE (BE)
20585,11,5,2020,2020-5-11,84167.62524444409,215561.4760097498,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=2, Fish traps=1",MALDEGEM (BE)
20586,11,5,2020,2020-5-11,84225.47200671938,215589.3484866768,Animal,Muskrat,Muskusrat,Identified,0,"Follow-up=4, Fish traps=3",MALDEGEM (BE)
20587,11,5,2020,2020-5-11,83619.72794569063,216864.9408950908,Animal,Muskrat,Muskusrat,Identified,0,"Fish traps=2, Follow-up=3",MALDEGEM (BE)
20768,18,5,2020,2020-5-18,94506.98788041782,167955.5304609323,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=2,OUDENAARDE (BE)
20922,20,5,2020,2020-5-20,94455.56443390434,167914.2471057549,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=6,OUDENAARDE (BE)
20921,20,5,2020,2020-5-20,94455.45668076075,167915.3829594273,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=2,OUDENAARDE (BE)
20920,20,5,2020,2020-5-20,94437.37578915159,167922.21617035847,Animal,Muskrat,Muskusrat,,,Conibear trap=3,OUDENAARDE (BE)
20944,20,5,2020,2020-5-20,94614.20200080224,168000.17316895816,Animal,Muskrat,Muskusrat,,,Conibear trap=1,OUDENAARDE (BE)
20946,20,5,2020,2020-5-20,94606.34103112473,167995.83984734584,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=2,OUDENAARDE (BE)
20945,20,5,2020,2020-5-20,94532.61184315919,167963.5913166413,Animal,Muskrat,Muskusrat,,,Conibear trap=1,OUDENAARDE (BE)
21015,26,5,2020,2020-5-26,109401.40828989932,161697.54455744196,Animal,Muskrat,Muskusrat,Catch,11,"Fish traps=3, Follow-up=3",BRAKEL (BE)
21053,27,5,2020,2020-5-27,114012.24314511154,164747.6347449189,Animal,Muskrat,Muskusrat,Catch,6,"Follow-up=6, Conibear trap=4",LIERDE (BE)
21172,8,6,2020,2020-6-8,113962.82684138729,164705.0905336663,Animal,Muskrat,Muskusrat,Identified,5,"Follow-up=3, Fish traps=3",LIERDE (BE)
21173,8,6,2020,2020-6-8,114031.84289141191,164755.5875034826,Animal,Muskrat,Muskusrat,Identified,1,"Follow-up=3, Fish traps=2",LIERDE (BE)
21231,15,6,2020,2020-6-15,84026.0680672733,216566.89536102582,Animal,Muskrat,Muskusrat,Catch,1,"Bait trap=2, Follow-up=5, Fish traps=2",
21233,15,6,2020,2020-6-15,92513.58160351608,157833.44588590506,Animal,Muskrat,Muskusrat,Identified,0,Follow-up=1,
21234,15,6,2020,2020-6-15,92487.84436285104,157848.1896735523,Animal,Muskrat,Muskusrat,Identified,1,Follow-up=1,
21377,23,6,2020,2020-6-23,92425.6448423532,157894.3818029426,Animal,Muskrat,Muskusrat,Identified,0,"Conibear trap=1, Fish traps=3",
21376,23,6,2020,2020-6-23,92500.40095694843,157838.76316942647,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=1,
21375,23,6,2020,2020-6-23,92495.85963250403,157832.8502642531,Animal,Muskrat,Muskusrat,Identified,0,Conibear trap=1,
21772,16,7,2020,2020-7-16,111107.66241709629,161666.62630589213,Animal,Muskrat,Muskusrat,Catch,5,"Fish traps=2, Conibear trap=4",GERAARDSBERGEN (BE)
21771,16,7,2020,2020-7-16,111128.66463630425,161681.7329228986,Animal,Muskrat,Muskusrat,Catch,1,Conibear trap=1,GERAARDSBERGEN (BE)
21770,16,7,2020,2020-7-16,110938.75906240883,161668.07062712405,Animal,Muskrat,Muskusrat,Catch,2,Fish traps=1,BRAKEL (BE)
21769,16,7,2020,2020-7-16,110904.55094525818,161586.97468364425,Animal,Muskrat,Muskusrat,Catch,3,"Fish traps=3, Conibear trap=1",BRAKEL (BE)
21812,29,7,2020,2020-7-29,107427.94616125307,170510.55558271054,Animal,Muskrat,Muskusrat,Catch,9,"Follow-up=3, Conibear trap=3",BRAKEL (BE)
21827,31,7,2020,2020-7-31,110896.28472315354,161616.64876269456,Animal,Muskrat,Muskusrat,Catch,1,Conibear trap=1,BRAKEL (BE)
21857,4,8,2020,2020-8-4,104508.4337055735,217790.13643581606,Animal,Muskrat,Muskusrat,Catch,11,"Fish traps=2, Conibear trap=5",ASSENEDE (BE)
21995,25,8,2020,2020-8-25,93752.54135274887,168684.30096603837,Animal,Muskrat,Muskusrat,Identified,0,Fish traps=4,WORTEGEM-PETEGEM (BE)
22003,26,8,2020,2020-8-26,94443.48018027552,169851.93190422468,Animal,Muskrat,Muskusrat,Identified,0,Fish traps=5,OUDENAARDE (BE)
2163,12,1,2018,2018-1-12,101590.10395300383,216582.17127832584,Animal,Muskrat,Muskusrat,Catch,1,,SINT-LAUREINS (BE)
14001,12,4,2019,2019-4-12,84216.59682547973,215649.42158334143,Animal,Muskrat,Muskusrat,Catch,0,,
16724,30,8,2019,2019-8-30,113780.15260295555,159778.91329529695,Animal,Muskrat,Muskusrat,Catch,0,,
17383,27,9,2019,2019-9-27,119115.3687754024,165016.5081515275,Animal,Muskrat,Muskusrat,Catch,6,,GERAARDSBERGEN (BE)
17357,7,10,2019,2019-10-7,91982.38146870653,158472.7287553735,Animal,Muskrat,Muskusrat,Catch,2,,RONSE (BE)
17518,11,10,2019,2019-10-11,84148.68067045302,215905.9586270759,Animal,Muskrat,Muskusrat,Catch,0,,
18166,28,11,2019,2019-11-28,108905.22001711243,161740.677475187,Animal,Muskrat,Muskusrat,Catch,7,,BRAKEL (BE)
18467,16,12,2019,2019-12-16,101378.83847919316,215145.98877528217,Animal,Muskrat,Muskusrat,Catch,3,,ASSENEDE (BE)
18465,16,12,2019,2019-12-16,101273.54786689172,215121.14152274746,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
18461,16,12,2019,2019-12-16,101698.64230186962,215306.78928729892,Animal,Muskrat,Muskusrat,Catch,1,,ASSENEDE (BE)
